Atleta,Idade,Jogos,Minutos ,Minutos por Jogo,Gols/90min,Chutes/90,Chutes no gol por 90,Aproveitamento,Gol/chute no gol,Gols do time /jogo,%Gols do time por jogo,Média da posse 
P.Vegetti,36,34,2788,82,"0,70","3,00","0,900","30,00%","0,77","1,4","49,7%","55,5%"
G. Arrascaeta,30,34,2550,75,"0,60","2,10","0,800","38,10%","0,75","2,1","28,6%","62,3%"
Arthur Cabral,27,15,1290,86,"0,40","2,60","1,000","38,46%","0,40","0,8","50,0%","52,8%"
Hulk,39,33,2706,82,"0,20","3,20","1,100","34,38%","0,18",1,"20,0%","55,02%"
German Cano,37,25,1900,76,"0,40","2,20","0,600","27,27%","0,67","1,3","30,8%",54%
Barreal,25,33,2211,67,"0,30","1,50","0,600","40,00%","0,50",1,"30,0%",48%
Yuri Alberto,24,22,1540,70,"0,40","2,60","1,100","42,31%","0,36",1,"40,0%","56,6%"
José López,24,34,1802,53,"0,30","2,10","0,700","33,33%","0,43","1,4","21,4%","51,3%"
André Silva,28,35,2380,68,"0,30","1,90","0,500","26,32%","0,60","1,2","25,0%","51,8%"
Kaio Jorge,23,36,2808,78,"0,70","3,10","1,300","41,94%","0,54","1,6","43,8%","46,5%"
Alan Patrick,34,27,2241,83,"0,30","1,50","0,700","46,67%","0,43","1,2","25,0%","52,4%"
Brainthwhite,34,30,2490,83,"0,40","2,10","0,900","42,86%","0,44",1,"40,0%","43,9%"
Renato Kayzer,29,26,2002,77,"0,50","2,00","0,900","45,00%","0,56","0,9","55,6%","42,7%"
Luciano Juba,26,38,3230,85,"0,30","0,90","0,400","44,44%","0,75","1,4","21,4%","54,9%"
Pedro Raul,28,36,3096,86,"0,40","3,10","1,300","41,94%","0,31","0,9","44,4%",42%
J.M. Lucero,33,36,1980,55,"0,20","1,10","0,500","45,45%","0,40",1,"20,0%","46,7%"
Barletta,23,38,2204,58,"0,10","1,70","0,800","47,06%","0,13","0,7","14,3%","47,4%"
Reinaldo,35,36,3096,86,"0,40","1,50","0,700","46,67%","0,57","1,8","22,2%","46,7%"
Isidro Pitta,26,28,1204,43,"0,40","1,10","0,600","54,55%","0,67","1,2","33,3%","47,5%"
G.Tailari,28,34,2074,61,"0,20","1,60","0,600","37,50%","0,33","0,9","22,2%","43,4%"
