Atleta,Idade,Jogos,Minutos ,Minutos por Jogo,Gols/90min,Chutes/90,Chutes no gol por 90,Aproveitamento,Gol/chute no gol,Gols do time /jogo,%Gols do time por jogo,Média da posse ,Gols
P.Raúl,25,34,2760,"81,176","0,620","3,000","1,370","45,65%","0,452","1,05","58,86%","39,90%",19
Alerrandro,23,34,2421,"71,206","0,558","2,491","1,190","47,76%","0,469","1,18","47,09%","42,10%",15
M.Leonardo,20,31,2603,"83,968","0,484","2,662","1,003","37,66%","0,483","1,03","47,16%","44,40%",14
Everaldo,27,33,2970,"90,000","0,394","3,485","1,152","33,04%","0,342","0,82","48,29%","44,40%",13
Fred,33,34,2726,"80,176","0,462","2,080","0,924","44,44%","0,500","1,45","31,93%","44,90%",14
W.Paulista,35,26,2436,"93,692","0,480","2,328","1,071","46,03%","0,448","1,32","36,50%","45,30%",13
Lucca,26,37,3284,"88,757","0,356","2,631","1,124","42,71%","0,317","0,97","36,59%","45,70%",13
Leandro Pereira,27,34,2397,"70,500","0,413","3,004","1,239","41,25%","0,333","0,89","46,16%","46,10%",11
G.Cano,32,34,2872,"84,471","0,439","2,256","1,159","51,39%","0,378","1,45","30,31%","46,30%",14
L.Suarez,36,33,2891,"87,606","0,529","3,798","1,432","37,70%","0,370","1,66","31,92%","46,40%",17
Gilberto,30,28,2347,"83,821","0,537","3,068","1,227","40,00%","0,438","1,16","46,36%","46,90%",14
Gilberto,32,36,2326,"64,611","0,580","3,134","1,122","35,80%","0,517","1,11","52,51%","47,00%",15
Ademir,26,31,2574,"83,032","0,490","2,867","1,119","39,02%","0,438","1,08","45,37%","47,40%",14
Grafite,37,31,2396,"77,290","0,488","2,404","1,277","53,13%","0,382","1,18","41,24%","47,70%",13
Diego Souza,33,32,2632,"82,250","0,410","1,847","0,752","40,74%","0,545","1,21","33,90%","47,80%",12
M.Leonardo,19,35,2893,"82,657","0,404","2,738","0,933","34,09%","0,433","1,16","34,93%","47,90%",13
T.Soares,32,33,2451,"74,273","0,624","3,084","1,102","35,71%","0,567","1,53","40,90%","48,10%",17
Sassá,22,26,1300,"50,000","0,831","2,838","1,731","60,98%","0,480","1,13","73,42%","48,30%",12
Edgar Junio,27,26,1913,"73,577","0,565","2,305","1,364","59,18%","0,414","1,32","42,91%","48,40%",12
P. Vegetti,35,35,2992,"85,486","0,361","3,008","0,993","33,00%","0,364","1,13","31,90%","48,90%",12
T.Galhardo,31,29,1863,"64,241","0,821","3,478","1,691","48,61%","0,486","1,61","51,16%","49,40%",17
Claudinho,23,35,2852,"81,486","0,568","3,282","1,136","34,62%","0,500","1,32","43,17%","49,60%",18
Ytalo,31,30,2315,"77,167","0,467","2,177","0,894","41,07%","0,522","1,45","32,23%","49,80%",12
Artur,23,30,2496,"83,200","0,433","2,776","1,010","36,36%","0,429","1,45","29,90%","49,80%",12
Henrique Dourado,31,32,2783,"86,969","0,582","2,102","1,261","60,00%","0,462","1,32","44,24%","49,90%",18
Bissoli,24,32,2460,"76,875","0,512","2,122","0,878","41,38%","0,583","0,89","57,25%","50,30%",14
Diego Souza,31,35,2909,"83,114","0,433","2,661","1,114","41,86%","0,389","1,29","33,59%","50,80%",14
